,2021-03-01,2022-03-01,2023-03-01
Sales,42.39,56.22,56.28
Expenses,37.14,50.17,47.32
Operating Profit,5.25,6.05,8.96
OPM %,12.38,10.76,15.92
Other Income,0.44,0.24,0.81
Interest,5.03,5.32,5.53
Depreciation,0.54,0.49,0.48
Profit before tax,0.12,0.48,3.76
Tax %,0.00,31.25,25.53
Net Profit,0.12,0.33,2.81
EPS in Rs,,,
