,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-5.07,3.09,0.37
Cash from Investing Activity,-0.01,-0.07,0.53
Cash from Financing Activity,2.94,-3.86,-1.01
Net Cash Flow,-2.14,-0.84,-0.11
