,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,352.0,307.0,329.0,428.0,466.0,513.0,558
Expenses,313.0,270.0,295.0,373.0,414.0,453.0,492
Operating Profit,39.0,38.0,34.0,55.0,52.0,60.0,66
OPM %,11.0,12.0,10.0,13.0,11.0,12.0,12
Other Income,4.0,54.0,2.0,-19.0,7.0,10.0,10
Interest,6.0,5.0,3.0,1.0,1.0,1.0,1
Depreciation,17.0,11.0,9.0,13.0,12.0,12.0,13
Profit before tax,20.0,76.0,25.0,22.0,46.0,57.0,62
Tax %,44.0,16.0,34.0,28.0,16.0,25.0,
Net Profit,11.0,64.0,16.0,16.0,38.0,43.0,47
EPS in Rs,20.04,99.55,25.28,24.69,17.48,20.04,22.19
