,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,76.53,77.14,69.76,61.59,60.92,54.38,75.2,83.54,55.72,58.02,68.99,79.94,75.70
Expenses,71.0,73.02,65.44,58.4,56.07,50.37,73.67,79.69,52.07,58.73,65.67,77.18,72.45
Operating Profit,5.53,4.12,4.32,3.19,4.85,4.01,1.53,3.85,3.65,-0.71,3.32,2.76,3.25
OPM %,7.23,5.34,6.19,5.18,7.96,7.37,2.03,4.61,6.55,-1.22,4.81,3.45,4.29
Other Income,0.19,0.12,0.09,0.38,0.22,0.3,0.48,0.38,0.82,0.35,0.14,0.67,0.35
Interest,1.53,1.39,1.3,1.54,1.96,2.07,2.27,2.6,2.86,2.39,2.29,2.12,2.00
Depreciation,0.75,0.81,0.87,0.93,1.09,1.12,1.17,1.21,1.16,1.25,1.09,1.0,1.00
Profit before tax,3.44,2.04,2.24,1.1,2.02,1.12,-1.43,0.42,0.45,-4.0,0.08,0.31,0.60
Tax %,32.27,26.96,28.12,10.91,35.15,33.04,35.66,0.0,6.67,29.5,50.0,70.97,
Net Profit,2.32,1.5,1.61,0.97,1.31,0.75,-0.93,0.42,0.42,-2.82,0.03,0.09,0.19
EPS in Rs,5.51,3.57,3.83,2.31,3.11,1.78,-2.21,1.0,1.0,-6.7,0.07,0.21,0.45
