,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21
Reserves,8.22,9.23,10.35,10.06,10.86,11.58,10.67,11.03,11.38,8.46,8.51,8.7
Borrowings,17.71,17.53,15.32,17.39,20.86,18.99,24.28,22.55,24.65,24.77,23.13,20.46
Other Liabilities,8.67,8.82,8.62,8.22,9.06,14.85,12.68,11.92,10.66,9.22,12.64,10.6
Total Liabilities,38.81,39.79,38.5,39.88,44.99,49.63,51.84,49.71,50.9,46.66,48.49,43.97
Fixed Assets,9.85,10.07,10.78,12.08,15.5,15.56,15.56,15.34,15.69,15.04,14.3,13.8
CWIP,0.49,0.8200000000000001,0.22,1.84,0.01,0.19,0.07,0.0,0.39,0.0,0.02,0.02
Investments,0.0,1.2,1.6,1.6,1.6,1.75,1.8,1.86,0.4,0.4,0.4,0.4
Other Assets,28.47,27.7,25.9,24.36,27.88,32.13,34.41,32.51,34.42,31.22,33.77,29.75
Total Assets,38.81,39.79,38.5,39.88,44.99,49.63,51.84,49.71,50.9,46.66,48.49,43.97
