,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,47.98,81.92,27.27,7.35,47.29,120.06,99.11,36.82,8.32,5.07,7.25,0.00
Expenses,47.03,77.98,25.99,9.3,48.82,109.1,100.29,38.73,12.57,16.4,7.65,0.45
Operating Profit,0.95,3.94,1.28,-1.95,-1.53,10.96,-1.18,-1.91,-4.25,-11.33,-0.4,-0.45
OPM %,1.98,4.81,4.69,-26.53,-3.24,9.13,-1.19,-5.19,-51.08,-223.47,-5.52,
Other Income,0.04,0.07,0.0,0.06,0.02,0.18,0.02,0.29,0.03,-0.05,0.06,0.01
Interest,0.69,1.03,0.4,0.56,0.38,0.47,0.24,0.35,0.65,0.29,0.02,0.11
Depreciation,1.18,1.1,0.96,0.96,0.92,1.01,0.82,0.85,0.77,0.75,0.05,0.05
Profit before tax,-0.88,1.88,-0.08,-3.41,-2.81,9.66,-2.22,-2.82,-5.64,-12.42,-0.41,-0.60
Tax %,7.95,-3.19,0.0,13.78,29.89,16.15,1.8,0.71,9.22,44.85,-2.44,1.67
Net Profit,-0.81,1.94,-0.08,-2.95,-1.97,8.1,-2.18,-2.79,-5.11,-6.85,-0.42,-0.59
EPS in Rs,-0.73,1.75,-0.07,-2.66,-1.77,7.29,-1.96,-2.51,-4.6,-6.17,-0.38,-0.53
