,2015-12-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,49.99,45.21,45.21,55.46,55.46,53.52,53.52,54.22,56.17
Public,49.99,54.79,54.79,44.54,44.54,46.48,46.48,45.79,43.84
No. of Shareholders,2432.0,2432.0,2432.0,2090.0,2090.0,2086.0,2080.0,2075.0,2074.0
