,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Promoters,53.52,53.52,53.52,53.52,53.52,53.52,53.52,53.52,54.21,54.22,54.22,56.17
Public,46.48,46.48,46.48,46.48,46.48,46.48,46.48,46.48,45.79,45.79,45.8,43.84
No. of Shareholders,2086.0,2086.0,2086.0,2080.0,2080.0,2080.0,2079.0,2079.0,2078.0,2075.0,2074.0,2074.0
