,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,33.44,33.32,32.7,32.44,23.38
Expenses,26.61,29.88,27.26,24.14,19.3
Operating Profit,6.83,3.44,5.44,8.3,4.08
OPM %,20.42,10.32,16.64,25.59,17.45
Other Income,0.08,0.03,0.06,0.17,0.24
Interest,2.07,2.41,2.44,1.62,0.45
Depreciation,2.15,2.13,1.31,1.14,1.17
Profit before tax,2.69,-1.07,1.75,5.71,2.7
Tax %,49.07,18.69,-16.57,37.3,32.59
Net Profit,1.36,-0.86,2.05,3.57,1.83
EPS in Rs,1.94,-1.23,2.93,5.1,1.74
