,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,7.0,7.0,7.0,7.0,10.5,10.5
Reserves,5.35,4.49,6.68,9.96,53.79,54.82
Borrowings,27.18,23.51,17.04,8.69,9.29,11.31
Other Liabilities,3.77,6.92,6.06,8.33,2.36,1.81
Total Liabilities,43.3,41.92,36.78,33.98,75.94,78.44
Fixed Assets,20.17,18.72,17.46,16.71,16.52,17.6
CWIP,0.0,0.0,0.0,0.0,1.03,0.0
Investments,0.1,0.1,0.47,0.1,0.1,0.1
Other Assets,23.03,23.1,18.85,17.17,58.29,60.74
Total Assets,43.3,41.92,36.78,33.98,75.94,78.44
