,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,284.0,366.0,329.0,326.0,354.0,399.0,399.0,417.0,438.0,449.0,457.0,487.0
Expenses,216.0,285.0,252.0,237.0,252.0,294.0,292.0,302.0,318.0,310.0,322.0,359.0
Operating Profit,69.0,81.0,77.0,89.0,102.0,105.0,107.0,115.0,120.0,139.0,134.0,128.0
OPM %,24.0,22.0,23.0,27.0,29.0,26.0,27.0,28.0,27.0,31.0,29.0,26.0
Other Income,2.0,9.0,2.0,1.0,9.0,2.0,17.0,2.0,4.0,4.0,6.0,6.0
Interest,1.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0
Depreciation,14.0,18.0,18.0,21.0,21.0,26.0,28.0,32.0,31.0,33.0,34.0,34.0
Profit before tax,55.0,69.0,57.0,65.0,87.0,76.0,91.0,80.0,89.0,105.0,102.0,96.0
Tax %,32.0,25.0,26.0,24.0,24.0,27.0,21.0,26.0,25.0,26.0,26.0,26.0
Net Profit,37.0,52.0,42.0,49.0,66.0,56.0,72.0,59.0,67.0,77.0,75.0,71.0
EPS in Rs,2.52,3.49,2.86,3.31,4.48,3.64,4.68,3.86,4.33,5.01,4.88,4.55
