,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,148,148,148,148,148,153,154,157
Reserves,413,522,589,686,803,1059,1342,1459
Borrowings,7,0,0,0,0,0,0,186
Other Liabilities,161,171,197,434,580,549,500,324
Total Liabilities,729,842,934,1268,1532,1761,1997,2126
Fixed Assets,162,162,204,328,440,637,753,713
CWIP,1,0,3,4,23,42,20,20
Investments,143,215,195,240,281,266,426,436
Other Assets,422,464,532,696,787,815,798,957
Total Assets,729,842,934,1268,1532,1761,1997,2126
