,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,8.0,6.0,10.0,2.0,4.0,3.0,7.0,3.0
Expenses,18.0,5.0,12.0,4.0,5.0,4.0,4.0,3.0
Operating Profit,-10.0,1.0,-2.0,-2.0,-1.0,-1.0,2.0,0.0
OPM %,-114.0,12.0,-18.0,-98.0,-29.0,-24.0,37.0,14.0
Other Income,-2.0,0.0,-8.0,-17.0,8.0,0.0,-13.0,0.0
Interest,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0
Depreciation,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Profit before tax,-16.0,-1.0,-13.0,-20.0,6.0,-2.0,-12.0,0.0
Tax %,2.0,0.0,1.0,1.0,-2.0,2.0,2.0,-30.0
Net Profit,-15.0,-1.0,-13.0,-20.0,6.0,-2.0,-12.0,0.0
EPS in Rs,-10.55,-0.58,-8.78,-13.64,3.9,-1.18,-7.91,0.09
