,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,3.22,2.62,-2.74
Cash from Investing Activity,-0.32,-0.5,-2.34
Cash from Financing Activity,-2.95,-2.01,5.03
Net Cash Flow,-0.04,0.11,-0.05
