,2022-09-01,2023-09-01
Sales,5.05,8.55
Expenses,3.33,5.94
Operating Profit,1.72,2.61
OPM %,34.06,30.53
Other Income,0.18,0.11
Interest,0.75,0.72
Depreciation,0.24,0.3
Profit before tax,0.91,1.7
Tax %,0.0,5.88
Net Profit,0.92,1.6
EPS in Rs,50.97,3.72
