,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Reserves,4.1,3.67,-5.3,-21.16,-25.43,-27.44,-27.99,-32.35,-31.03,-26.02,-22.79
Borrowings,28.23,37.1,39.45,39.51,38.71,41.88,34.06,31.56,27.63,25.32,25.05
Other Liabilities,18.87,14.56,15.15,14.49,15.59,15.76,16.8,15.12,12.44,7.51,5.8
Total Liabilities,54.7,58.83,52.8,36.34,32.37,33.7,26.37,17.83,12.54,10.31,11.56
Fixed Assets,27.05,27.14,26.42,22.56,21.0,19.72,18.0,6.94,6.12,2.32,2.27
CWIP,0.96,0.07,0.0,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,26.69,31.62,26.38,13.74,11.33,13.94,8.33,10.89,6.42,7.99,9.29
Total Assets,54.7,58.83,52.8,36.34,32.37,33.7,26.37,17.83,12.54,10.31,11.56
