,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,26.9,28.72,17.72,40.4,5150.56,513.39,145.41,153.99,148.14,1581.67
Inventory Days,47.63,84.21,97.43,26.88,1104.61,,50.65,21.95,23.86,
Days Payable,66.47,56.74,64.59,56.39,3784.47,,675.86,322.73,374.72,
Cash Conversion Cycle,8.07,56.19,50.56,10.88,2470.69,513.39,-479.8,-146.79,-202.72,1581.67
Working Capital Days,9.8,36.84,27.5,-67.71,-14140.37,-599.56,-485.08,-229.12,-465.79,-382.38
ROCE %,,10.91,-6.88,-35.23,-23.51,-10.08,-25.15,-11.4,-16.37,33.79
