,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,110.99,98.49,85.07,37.95,0.27,3.05,9.94,6.85,4.78,0.21,1.32
Expenses,106.55,93.84,86.7,47.52,3.79,3.72,12.2,7.53,5.6,1.32,0.16
Operating Profit,4.44,4.65,-1.63,-9.57,-3.52,-0.67,-2.26,-0.68,-0.82,-1.11,1.16
OPM %,4.0,4.72,-1.92,-25.22,-1303.7,-21.97,-22.74,-9.93,-17.15,-528.57,87.88
Other Income,2.42,1.3,0.04,0.6,1.17,0.19,5.26,0.08,3.6,7.51,4.54
Interest,3.76,4.22,5.92,6.07,0.71,0.65,2.41,1.93,1.12,1.3,0.35
Depreciation,3.08,1.58,1.45,1.37,1.3,1.27,1.24,0.79,0.35,0.08,0.00
Profit before tax,0.02,0.15,-8.96,-16.41,-4.36,-2.4,-0.65,-3.32,1.31,5.02,5.35
Tax %,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.24,0.0,0.0,
Net Profit,0.02,0.16,-8.97,-16.41,-4.36,-2.4,-0.65,-4.49,1.31,5.01,5.35
EPS in Rs,4.0,0.46,-25.63,-46.9,-12.46,-6.86,-1.86,-12.83,3.74,14.32,15.29
