,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.01,0.01,0.01,0.11,0.11,0.31,0.31,6.17,6.17,12.34,12.34,49.42
Reserves,0.0,0.0,0.86,1.26,1.42,4.61,5.64,8.25,8.33,4.39,6.37,5.22
Borrowings,0.0,0.0,1.14,1.9,2.06,7.21,9.58,9.28,11.33,8.74,8.74,2.52
Other Liabilities,0.0,0.0,2.54,5.51,7.49,7.38,7.73,12.45,2.04,3.33,1.14,3.35
Total Liabilities,0.01,0.01,4.55,8.78,11.08,19.51,23.26,36.15,27.87,28.8,28.59,60.51
Fixed Assets,0.0,0.0,0.04,0.17,0.16,0.2,0.48,0.8,0.76,0.58,0.48,0.44
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03,0.0,0.0,0.0,0.0
Other Assets,0.01,0.01,4.51,8.61,10.92,19.31,22.78,32.32,27.11,28.22,28.11,60.07
Total Assets,0.01,0.01,4.55,8.78,11.08,19.51,23.26,36.15,27.87,28.8,28.59,60.51
