,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,0.0,8.83,18.57,23.34,35.42,50.7,55.11,41.08,21.04,14.09,4.84
Expenses,0.0,0.0,8.62,18.06,22.91,33.85,47.4,53.87,48.84,25.46,13.16,5.11
Operating Profit,0.0,0.0,0.21,0.51,0.43,1.57,3.3,1.24,-7.76,-4.42,0.93,-0.27
OPM %,,,2.38,2.75,1.84,4.43,6.51,2.25,-18.89,-21.01,6.6,-5.58
Other Income,0.0,0.0,0.01,0.06,0.35,0.41,0.05,2.27,8.93,7.7,2.26,2.06
Interest,0.0,0.0,0.06,0.39,0.52,0.72,1.04,0.97,0.93,0.08,0.29,0.56
Depreciation,0.0,0.0,0.0,0.02,0.02,0.02,0.04,0.1,0.12,0.12,0.1,0.10
Profit before tax,0.0,0.0,0.16,0.16,0.24,1.24,2.27,2.44,0.12,3.08,2.8,1.13
Tax %,,,31.25,43.75,33.33,26.61,27.31,25.82,25.0,27.92,28.93,
Net Profit,0.0,0.0,0.11,0.1,0.16,0.91,1.66,1.82,0.09,2.22,1.98,0.99
EPS in Rs,0.0,0.0,1.1,0.2,0.32,0.61,1.11,0.06,0.0,0.07,0.06,0.01
