,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,2.49,1.01,0.01,0.4,0.44,5.63,7.54,12.25,26.11
Expenses,1.98,0.69,0.21,1.56,1.77,3.17,7.16,9.31,16.4
Operating Profit,0.51,0.32,-0.2,-1.16,-1.33,2.46,0.38,2.94,9.71
OPM %,20.48,31.68,-2000.0,-290.0,-302.27,43.69,5.04,24.0,37.19
Other Income,0.03,0.05,0.0,0.02,0.0,0.01,0.0,0.01,0.01
Interest,0.15,0.27,0.24,0.03,0.24,0.59,0.19,0.26,0.25
Depreciation,0.14,0.14,0.14,0.07,0.03,0.09,0.1,0.13,0.17
Profit before tax,0.25,-0.04,-0.58,-1.24,-1.6,1.79,0.09,2.56,9.3
Tax %,40.0,75.0,3.45,0.0,0.0,1.68,22.22,25.78,13.33
Net Profit,0.14,-0.01,-0.56,-1.25,-1.6,1.76,0.07,1.9,8.05
EPS in Rs,0.14,-0.01,-0.57,-1.27,-1.63,1.79,0.07,1.93,7.33
