,Mar 2022,Mar 2023,TTM
Sales,909.0,864.0,996
Expenses,735.0,833.0,975
Operating Profit,174.0,32.0,21
OPM %,19.0,4.0,2
Other Income,8.0,3.0,5
Interest,6.0,6.0,16
Depreciation,12.0,10.0,18
Profit before tax,164.0,18.0,-8
Tax %,25.0,36.0,
Net Profit,123.0,12.0,-8
EPS in Rs,65.64,6.58,-3.87
