,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,248.92,256.08,162.23,209.52,236.58,255.43,294.27
Expenses,218.5,222.33,173.25,211.7,225.56,246.61,290.94
Operating Profit,30.42,33.75,-11.02,-2.18,11.02,8.82,3.33
OPM %,12.22,13.18,-6.79,-1.04,4.66,3.45,1.13
Other Income,0.49,1.06,0.87,1.0,-0.04,2.45,1.38
Interest,1.58,1.18,0.9,0.89,3.25,6.55,5.3
Depreciation,1.8,1.71,1.73,1.93,4.64,5.59,5.68
Profit before tax,27.53,31.92,-12.78,-4.0,3.09,-0.87,-6.27
Tax %,23.39,25.72,21.67,20.75,63.43,-2.3,18.34
Net Profit,21.09,23.71,-10.01,-3.17,1.13,-0.89,-5.12
EPS in Rs,11.29,12.74,-5.26,-1.62,0.72,-0.36,-2.61
