,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,50.09,50.12,50.08,50.11,50.11
FIIs,0.0,0.0,1.34,0.48,0.45
DIIs,6.53,6.53,6.52,2.51,1.97
Public,43.38,43.35,42.06,46.91,47.47
No. of Shareholders,29685.0,28878.0,34154.0,35308.0,33622.0
