,2022-03-01,2023-03-01
Sales,69,107
Expenses,39,76
Operating Profit,31,32
OPM %,44,30
Other Income,5,24
Interest,16,19
Depreciation,11,15
Profit before tax,8,22
Tax %,42,16
Net Profit,5,18
EPS in Rs,,
