,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01
Sales,5.61,0.89,0.00,0.00,0.00,0.0,0.00,0.00,0.00
Expenses,5.99,0.91,0.59,0.02,0.15,0.03,0.07,0.04,0.06
Operating Profit,-0.38,-0.02,-0.59,-0.02,-0.15,-0.03,-0.07,-0.04,-0.06
OPM %,-6.77,-2.25,,,,,,,
Other Income,0.19,0.07,0.35,0.06,0.25,0.03,0.02,0.00,0.16
Interest,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00
Depreciation,0.19,0.0,0.18,0.00,0.18,0.0,0.18,0.00,0.18
Profit before tax,-0.38,0.05,-0.42,0.04,-0.08,0.0,-0.23,-0.04,-0.08
Tax %,7.89,0.0,-21.43,0.00,0.00,,0.00,0.00,0.00
Net Profit,-0.35,0.05,-0.51,0.04,-0.08,0.0,-0.24,-0.04,-0.08
EPS in Rs,-0.49,0.07,-0.72,0.06,-0.11,0.0,-0.34,-0.06,-0.11
