,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,0.92,0.26,0.00,0.0,2.17,9.04,0.89,0.00,0.00,0.00
Expenses,0.78,0.43,0.27,0.34,2.49,9.52,1.5,0.17,0.10,0.09
Operating Profit,0.14,-0.17,-0.27,-0.34,-0.32,-0.48,-0.61,-0.17,-0.10,-0.09
OPM %,15.22,-65.38,,,-14.75,-5.31,-68.54,,,
Other Income,0.02,0.33,0.36,0.39,0.11,0.44,0.42,0.31,0.05,0.16
Interest,0.03,0.0,0.00,0.0,0.01,0.0,0.0,0.00,0.00,0.00
Depreciation,0.08,0.11,0.06,0.05,0.05,0.19,0.18,0.18,0.18,0.18
Profit before tax,0.05,0.05,0.03,0.0,-0.27,-0.23,-0.37,-0.04,-0.23,-0.11
Tax %,60.0,40.0,0.00,,7.41,0.0,-24.32,0.00,0.00,0.00
Net Profit,0.02,0.03,0.03,0.0,-0.25,-0.23,-0.46,-0.05,-0.24,-0.12
EPS in Rs,0.05,0.04,0.04,0.0,-0.35,-0.32,-0.65,-0.07,-0.34,-0.17
