,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,3.8,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11
Reserves,0.9,2.6,2.61,2.6,2.35,2.12,1.66,1.61,1.46,1.35
Borrowings,0.84,0.0,0.15,0.0,0.05,0.0,0.19,0.21,0.0,0.0
Other Liabilities,0.05,0.07,0.06,0.06,1.8,0.86,0.18,0.98,0.75,0.89
Total Liabilities,5.59,9.78,9.93,9.77,11.31,10.09,9.14,9.91,9.32,9.35
Fixed Assets,3.73,2.5,2.5,2.5,2.5,2.5,0.0,0.0,2.5,2.5
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.52,1.21,1.21,2.11,1.77,4.07,8.76,6.05,4.15
Other Assets,1.86,6.76,6.22,6.06,6.7,5.82,5.07,1.15,0.77,2.7
Total Assets,5.59,9.78,9.93,9.77,11.31,10.09,9.14,9.91,9.32,9.35
