,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,210.27,659.81,,,85.78,60.16,783.31,,,
Inventory Days,51.23,126.96,0.00,,,,0.00,,,
Days Payable,6.4,47.61,,,,,,,,
Cash Conversion Cycle,255.1,739.16,,,85.78,60.16,783.31,,,
Working Capital Days,499.89,7819.42,,,644.22,125.97,1796.29,,,
ROCE %,,0.66,0.20,0.00,-1.35,-3.20,-4.07,-0.45,-2.63,-1.29
