,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,839,556,568,1119,-739,1602,-109,1267,-929,530,1302,467
Cash from Investing Activity,-643,-328,-439,-825,4482,-643,-138,125,-32,-24,-19,85
Cash from Financing Activity,-249,-901,360,-199,-5656,-1249,492,-1898,969,-327,-1045,-684
Net Cash Flow,-53,-673,489,95,-1914,-290,245,-506,8,180,238,-133
