,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2022-09-01
Equity Capital,3.52,3.52,3.52,3.52,3.52,3.67,3.67,3.67,3.67,3.67,3.67,3.67
Reserves,-0.98,-0.98,-0.96,-0.91,-0.86,2.16,2.21,2.24,2.25,2.27,2.29,2.29
Borrowings,0.0,0.0,1.37,1.38,1.77,2.32,1.65,1.53,1.25,0.48,4.58,4.92
Other Liabilities,0.12,0.02,0.14,0.36,0.6000000000000001,1.14,1.25,1.13,1.2,1.19,1.18,1.36
Total Liabilities,2.66,2.56,4.07,4.35,5.03,9.29,8.78,8.57,8.37,7.61,11.72,12.24
Fixed Assets,0.0,0.0,0.01,0.01,0.0,0.03,0.02,0.01,0.01,0.0,0.0,0.0
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.92,0.22,0.75,1.25,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
Other Assets,1.74,2.34,3.31,3.09,4.53,8.76,8.26,8.06,8.36,7.61,11.72,12.24
Total Assets,2.66,2.56,4.07,4.35,5.03,9.29,8.78,8.57,8.37,7.61,11.72,12.24
