,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2,2,2,2,2,2,2,2,3,3,3,3
Reserves,58,68,65,62,54,66,78,100,169,204,271,295
Borrowings,53,67,84,81,81,81,75,70,58,64,43,32
Other Liabilities,78,86,83,97,73,73,104,97,139,124,129,179
Total Liabilities,192,223,234,242,210,223,260,269,369,395,446,509
Fixed Assets,33,56,54,52,45,51,52,72,80,86,111,100
CWIP,25,4,8,11,13,2,4,1,4,14,24,24
Investments,2,3,5,4,2,1,1,0,4,4,22,22
Other Assets,131,159,168,175,150,168,204,196,281,291,289,363
Total Assets,192,223,234,242,210,223,260,269,369,395,446,509
