,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,0,5,13
Reserves,11,0,6,28
Borrowings,10,28,42,40
Other Liabilities,5,7,4,24
Total Liabilities,26,35,57,105
Fixed Assets,5,4,4,10
CWIP,0,0,6,0
Investments,0,0,0,0
Other Assets,21,31,48,95
Total Assets,26,35,57,105
