,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,39.0,43.0,36.0,46.0,46.0,54.0,51.0,51.0,61.0
Expenses,38.0,38.0,34.0,40.0,42.0,49.0,49.0,49.0,53.0
Operating Profit,1.0,5.0,2.0,5.0,5.0,5.0,2.0,2.0,9.0
OPM %,3.0,12.0,6.0,12.0,10.0,9.0,3.0,4.0,14.0
Other Income,2.0,-0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0
Interest,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Depreciation,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,7.0
Profit before tax,2.0,4.0,3.0,5.0,4.0,4.0,0.0,0.0,1.0
Tax %,31.0,28.0,28.0,24.0,25.0,28.0,23.0,-0.0,39.0
Net Profit,1.0,3.0,2.0,4.0,3.0,3.0,0.0,0.0,0.0
EPS in Rs,2.55,5.33,4.22,6.96,5.4,5.65,0.3,0.66,0.86
