,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,88,124,120,114,123,148,140,136,142,127,99,90
Inventory Days,68,26,30,157,68,25,14,36,54,60,77,82
Days Payable,183,191,156,311,140,103,85,115,139,88,75,27
Cash Conversion Cycle,-27,-41,-6,-40,51,70,69,57,57,98,101,145
Working Capital Days,-8,-18,20,-4,60,85,74,72,87,106,104,137
ROCE %,8,4,6,2,7,11,18,18,22,21,19,5
