,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,11.01,11.01,11.01,11.01,11.01,11.01,11.01,11.01,11.01,11.01,11.01,11.01
Reserves,1.75,1.01,1.12,1.18,1.53,1.64,1.4,1.2,0.68,0.24,-0.31,-0.61
Borrowings,0.14,0.17,14.18,0.0,0.0,0.0,0.0,0.0,8.32,7.54,7.63,5.5
Other Liabilities,0.87,23.53,17.52,12.16,11.63,8.14,6.13,6.98,0.04,0.02,0.02,0.01
Total Liabilities,13.77,35.72,43.83,24.35,24.17,20.79,18.54,19.19,20.05,18.81,18.35,15.91
Fixed Assets,0.15,0.11,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.01,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,13.61,35.61,43.77,24.34,24.17,19.35,18.54,19.19,20.05,18.81,18.35,15.91
Total Assets,13.77,35.72,43.83,24.35,24.17,20.79,18.54,19.19,20.05,18.81,18.35,15.91
