,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,9.38,8.41,7.78,11.33,9.11,8.83,9.72,9.07,9.46,8.49,10.03,12.67,12.45
Expenses,5.04,4.76,4.42,7.62,4.64,3.64,5.24,5.99,6.8,5.14,7.3,8.14,8.18
Operating Profit,4.34,3.65,3.36,3.71,4.47,5.19,4.48,3.08,2.66,3.35,2.73,4.53,4.27
OPM %,46.27,43.4,43.19,32.74,49.07,58.78,46.09,33.96,28.12,39.46,27.22,35.75,34.30
Other Income,0.28,0.11,0.0,0.62,0.04,0.01,0.02,0.07,0.22,0.26,0.28,0.31,0.34
Interest,1.59,1.54,1.49,1.36,0.94,0.8,0.71,0.78,0.91,0.94,0.79,0.79,1.01
Depreciation,0.61,0.52,0.41,0.62,0.4,0.31,0.3,0.29,0.3,0.24,0.18,0.14,0.13
Profit before tax,2.42,1.7,1.46,2.35,3.17,4.09,3.49,2.08,1.67,2.43,2.04,3.91,3.47
Tax %,33.47,32.94,33.56,33.62,34.07,37.41,30.37,28.37,28.74,26.75,25.0,25.06,
Net Profit,1.61,1.14,0.97,1.56,2.09,2.57,2.43,1.5,1.2,1.78,1.53,2.93,2.60
EPS in Rs,0.18,0.13,0.11,0.17,0.23,0.29,0.27,0.17,0.13,0.2,0.17,0.33,0.29
