,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,39.32,68.79,91.67,27.53,97.12,102.97,108.68,98.63,154.38,121.86,125.93,92.28,140.36
Expenses,48.48,67.71,78.09,33.01,88.56,91.22,96.66,85.28,138.71,109.39,112.51,86.53,129.83
Operating Profit,-9.16,1.08,13.58,-5.48,8.56,11.75,12.02,13.35,15.67,12.47,13.42,5.75,10.53
OPM %,-23.3,1.57,14.81,-19.91,8.81,11.41,11.06,13.54,10.15,10.23,10.66,6.23,7.5
Other Income,3.24,2.39,1.31,3.43,2.02,0.76,1.13,0.45,2.61,0.93,-4.38,0.68,1.04
Interest,6.42,5.5,4.58,4.66,4.72,4.65,4.75,5.0,4.35,5.36,6.51,5.04,5.58
Depreciation,5.28,5.89,6.62,6.31,5.62,5.57,5.64,5.95,5.65,5.52,5.65,5.4,5.21
Profit before tax,-17.62,-7.92,3.69,-13.02,0.24,2.29,2.76,2.85,8.28,2.52,-3.12,-4.01,0.78
Tax %,0.74,1.26,-626.29,7.07,-716.67,35.37,-134.06,17.19,-4.59,12.7,-95.51,30.17,1157.69
Net Profit,-17.49,-7.82,26.8,-12.1,1.96,1.48,6.46,2.36,8.66,2.2,-6.1,-2.8,-8.25
EPS in Rs,-4.61,-1.9,6.52,-2.94,0.48,0.36,1.57,0.53,1.96,0.5,-1.38,-0.63,-1.86
