,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3.06,7.17,5.24,6.37,7.25,15.97,2.71,14.67,3.93,1.47,0.83,4.02,10.30
Expenses,3.52,6.98,5.36,6.16,7.66,14.1,4.48,13.53,5.11,2.89,2.55,5.54,11.63
Operating Profit,-0.46,0.19,-0.12,0.21,-0.41,1.87,-1.77,1.14,-1.18,-1.42,-1.72,-1.52,-1.33
OPM %,-15.03,2.65,-2.29,3.3,-5.66,11.71,-65.31,7.77,-30.03,-96.6,-207.23,-37.81,-12.91
Other Income,5.53,2.03,1.59,1.82,1.56,1.52,2.68,2.17,2.38,2.14,2.49,1.41,1.23
Interest,1.97,0.53,0.0,0.0,0.01,0.03,0.07,0.09,0.09,0.08,0.03,0.46,1.10
Depreciation,0.34,0.35,0.2,0.15,0.23,0.36,0.36,0.51,0.48,0.1,0.13,0.49,0.89
Profit before tax,2.76,1.34,1.27,1.88,0.91,3.0,0.48,2.71,0.63,0.54,0.61,-1.06,-2.09
Tax %,0.0,19.4,20.47,20.74,18.68,20.67,18.75,20.3,14.29,11.11,21.31,-20.75,
Net Profit,2.76,1.08,1.01,1.5,0.73,2.38,0.39,2.16,0.54,0.47,0.48,-1.28,-2.31
EPS in Rs,1.9,0.74,0.7,1.03,0.5,1.64,0.27,1.49,0.37,0.32,0.33,-0.88,-1.59
