,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.01,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5
Reserves,4.84,10.67,11.58,11.81,11.44,11.54,11.53,11.73,11.59,13.95,14.38,14.53
Borrowings,0.01,0.0,0.0,0.05,0.01,0.0,0.0,0.0,0.0,0.33,0.0,0.0
Other Liabilities,0.0,9.26,13.78,13.54,17.64,19.05,22.44,35.33,8.23,2.33,1.72,1.72
Total Liabilities,4.86,35.43,40.86,40.9,44.59,46.09,49.47,62.56,35.32,32.11,31.6,31.75
Fixed Assets,0.0,0.4,0.36,0.21,0.1,0.05,0.02,0.01,0.0,0.04,0.03,0.03
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.14,0.14,0.0,0.0,0.0
Other Assets,4.86,35.03,40.5,40.69,44.49,45.9,49.31,62.41,35.18,32.07,31.57,31.72
Total Assets,4.86,35.43,40.86,40.9,44.59,46.09,49.47,62.56,35.32,32.11,31.6,31.75
