,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,13.4,8.52,11.15,11.21,20.07,15.87,25.54,25.51,30.49,38.84,50.51,49.21,50.61
Expenses,11.01,6.06,8.24,9.84,19.83,15.38,22.74,22.74,26.89,36.21,46.95,44.38,45.36
Operating Profit,2.39,2.46,2.91,1.37,0.24,0.49,2.8,2.77,3.6,2.63,3.56,4.83,5.25
OPM %,17.84,28.87,26.1,12.22,1.2,3.09,10.96,10.86,11.81,6.77,7.05,9.82,10.37
Other Income,0.02,0.02,0.04,0.21,1.21,1.53,0.62,1.18,1.08,1.91,0.22,0.25,0.22
Interest,0.53,0.38,0.44,0.48,0.6,0.43,0.21,0.57,0.57,0.29,0.54,0.44,0.62
Depreciation,0.64,0.68,0.63,1.14,0.91,0.71,0.71,0.84,0.7,0.6,0.63,0.59,0.45
Profit before tax,1.24,1.42,1.88,-0.04,-0.06,0.88,2.5,2.54,3.41,3.65,2.61,4.05,4.40
Tax %,58.87,17.61,31.91,25.0,-533.33,54.55,53.2,20.87,28.74,29.32,27.97,28.64,
Net Profit,0.52,1.17,1.29,-0.03,-0.38,0.4,1.18,2.01,2.44,2.6,1.88,2.89,2.90
EPS in Rs,0.87,1.95,2.15,-0.05,-0.63,0.33,0.7,1.2,1.45,1.55,1.12,1.72,1.73
