,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,46.03,35.15,47.73,43.99,37.72
Expenses,40.91,30.31,43.99,43.99,37.84
Operating Profit,5.12,4.84,3.74,0.0,-0.12
OPM %,11.12,13.77,7.84,0.0,-0.32
Other Income,0.52,0.48,0.4,3.22,3.43
Interest,0.83,0.6,0.84,0.62,1.08
Depreciation,1.6,1.41,1.63,1.68,1.98
Profit before tax,3.21,3.31,1.67,0.92,0.25
Tax %,26.17,27.19,31.14,-6.52,
Net Profit,2.37,2.41,1.15,0.98,-0.54
EPS in Rs,3.25,3.3,1.59,0.95,-0.52
