,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,0.46,1.39,2.87,4.79
Cash from Investing Activity,-0.25,-3.14,-9.69,-40.31
Cash from Financing Activity,-0.06,1.78,6.85,36.26
Net Cash Flow,0.15,0.03,0.03,0.73
