,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,12.48,14.37,16.13,17.79,28.58,34.13,47.0,55.83,55.35,51.78,51.39,52.23,49.14
Expenses,7.19,12.01,14.38,14.99,24.87,26.51,36.11,46.32,42.88,33.98,35.3,30.39,27.74
Operating Profit,5.29,2.36,1.75,2.8,3.71,7.62,10.89,9.51,12.47,17.8,16.09,21.84,21.40
OPM %,42.39,16.42,10.85,15.74,12.98,22.33,23.17,17.03,22.53,34.38,31.31,41.82,43.55
Other Income,0.05,0.76,0.88,0.95,0.89,0.4,0.13,0.01,0.05,0.08,0.1,0.04,0.03
Interest,3.4,0.78,0.39,0.51,0.47,1.29,2.37,2.64,3.1,3.67,4.27,7.99,8.13
Depreciation,2.08,1.57,1.56,3.05,3.35,3.9,4.64,5.06,5.17,5.59,7.45,9.27,9.15
Profit before tax,-0.14,0.77,0.68,0.19,0.78,2.83,4.01,1.82,4.25,8.62,4.47,4.62,4.15
Tax %,600.0,49.35,55.88,-142.11,-16.67,11.66,21.95,-23.08,-4.47,34.11,50.78,42.64,
Net Profit,0.71,0.39,0.29,0.46,0.91,2.5,3.12,2.25,4.44,5.68,2.2,2.65,2.68
EPS in Rs,0.76,0.42,0.31,0.49,0.97,2.67,3.17,1.82,3.45,4.23,1.54,1.78,1.79
