,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,9.35,9.35,9.35,9.35,9.35,9.35,9.85,12.35,12.89,13.42,14.26,14.9
Reserves,-4.43,-1.12,-0.8300000000000001,-0.18,0.71,3.22,7.36,14.62,20.14,27.68,32.18,36.97
Borrowings,22.92,3.58,6.62,5.69,16.91,27.06,25.12,21.68,24.37,30.96,67.44,62.39
Other Liabilities,26.29,26.86,24.9,26.57,18.69,11.49,17.18,6.67,6.29,7.46,8.6,8.77
Total Liabilities,54.13,38.67,40.04,41.43,45.66,51.12,59.51,55.32,63.69,79.52,122.48,123.03
Fixed Assets,43.14,20.73,20.59,19.69,23.54,28.57,27.66,30.01,34.99,52.05,95.17,88.87
CWIP,0.88,0.0,0.0,0.07,0.04,2.96,3.94,0.07,0.15,0.32,0.87,1.9
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,10.11,17.94,19.45,21.67,22.08,19.59,27.91,25.24,28.55,27.15,26.44,32.26
Total Assets,54.13,38.67,40.04,41.43,45.66,51.12,59.51,55.32,63.69,79.52,122.48,123.03
