,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,1.37,1.37,1.37,1.37,1.36,1.36,1.36,1.36
Public,98.63,98.63,98.63,98.63,98.64,98.64,98.64,98.64
No. of Shareholders,6674.0,6666.0,6666.0,6661.0,6658.0,6647.0,6637.0,6635.0
