,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.62,0.62,0.62,0.7000000000000001,4.43,0.7000000000000001
Reserves,1.51,1.4,1.67,2.74,2.81,2.88
Borrowings,2.37,2.77,2.63,2.12,1.95,1.6800000000000002
Other Liabilities,0.52,6.75,3.1,5.06,4.79,5.42
Total Liabilities,5.02,11.54,8.02,10.62,13.98,14.41
Fixed Assets,0.08,0.04,0.03,0.03,0.04,0.04
CWIP,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,4.94,11.5,7.99,10.59,13.94,14.37
Total Assets,5.02,11.54,8.02,10.62,13.98,14.41
