,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,12.82,11.48,3.66,7.15,7.68,7.15
Expenses,12.15,10.95,3.41,5.8,7.09,6.52
Operating Profit,0.67,0.53,0.25,1.35,0.59,0.63
OPM %,5.23,4.62,6.83,18.88,7.68,8.81
Other Income,0.0,0.0,0.35,0.0,0.02,0.00
Interest,0.3,0.49,0.22,0.28,0.28,0.28
Depreciation,0.07,0.03,0.01,0.01,0.01,0.01
Profit before tax,0.3,0.01,0.37,1.06,0.32,0.34
Tax %,-3.33,0.0,24.32,30.19,34.38,
Net Profit,0.31,0.0,0.27,0.74,0.21,0.22
EPS in Rs,4.96,0.0,4.32,10.57,0.47,0.50
