,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,4,10,10,6,7,-5,-5,7,7,20,11,3
Cash from Investing Activity,-10,2,-6,21,2,6,4,-2,-2,10,-2,0
Cash from Financing Activity,-2,-3,-3,-13,-3,-3,0,-6,0,-35,-5,-5
Net Cash Flow,-9,9,1,14,6,-2,-1,-1,5,-4,4,-1
