,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,10.72,10.72,10.72,10.72,10.72,10.72,10.72,10.73,10.73,10.73,10.73,10.73
Reserves,-13.81,-13.96,-12.88,-12.97,-12.97,-12.86,-12.85,-12.86,-12.88,-12.87,-12.87,-12.88
Borrowings,3.0,3.11,2.04,2.17,2.42,2.76,2.78,2.78,2.78,2.89,2.89,2.84
Other Liabilities,0.12,0.14,0.13,0.11,0.01,1.25,0.94,0.95,0.86,0.85,0.8200000000000001,0.8200000000000001
Total Liabilities,0.03,0.01,0.01,0.03,0.18,1.87,1.59,1.6,1.49,1.6,1.57,1.51
Fixed Assets,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,0.03,0.01,0.01,0.03,0.17,1.86,1.58,1.59,1.49,1.6,1.57,1.51
Total Assets,0.03,0.01,0.01,0.03,0.18,1.87,1.59,1.6,1.49,1.6,1.57,1.51
