,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,,,,,319.38,332.07,104.29,,365.00,638.75,319.38
Inventory Days,,,,,,,,,,0.00,0.00
Days Payable,,,,,,,,,,,
Cash Conversion Cycle,,,,,319.38,332.07,104.29,,365.00,638.75,319.38
Working Capital Days,,,,,501.88,153.68,-325.89,,-1407.86,-1368.75,365.00
ROCE %,,,,,0.00,27.85,1.57,-1.54,-3.12,0.00,1.33
