,2017-06-01,2017-09-01,2017-12-01,2018-03-01,2018-06-01,2018-09-01,2018-12-01,2022-06-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.82,1.42,1.23,0.91,1.26,1.83,1.93,0.0,0.0,0.06,0.05
Expenses,0.8,1.37,1.2,0.74,1.24,1.8,1.87,0.0,0.0,0.49,0.66
Operating Profit,0.02,0.05,0.03,0.17,0.02,0.03,0.06,0.0,0.0,-0.43,-0.61
OPM %,2.44,3.52,2.44,18.68,1.59,1.64,3.11,,,-716.67,-1220.0
Other Income,0.0,-0.03,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Interest,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,1.02
Depreciation,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.01,0.01
Profit before tax,0.02,0.02,0.06,0.08,0.02,0.02,0.05,0.0,0.0,-0.44,-1.63
Tax %,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
Net Profit,0.02,0.02,0.06,0.07,0.02,0.02,0.05,0.0,0.0,-0.43,-1.63
EPS in Rs,0.05,0.05,0.14,0.16,0.05,0.05,0.11,0.0,0.0,-0.23,-0.61
