,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,61.7,61.7,61.7,61.7,66.28,66.28,72.31,72.31
DIIs,0.03,0.03,0.03,0.03,0.03,0.03,0.01,0.01
Public,38.26,38.26,38.26,38.26,33.68,33.68,27.68,27.68
No. of Shareholders,1507.0,1508.0,1504.0,1500.0,1491.0,1513.0,1534.0,1536.0
