,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,1.59,7.29,3.28,12.27,9.59,30.19,19.56
Expenses,1.28,6.81,2.95,10.8,7.68,24.27,18.11
Operating Profit,0.31,0.48,0.33,1.47,1.91,5.92,1.45
OPM %,19.5,6.58,10.06,11.98,19.92,19.61,7.41
Other Income,0.2,0.09,0.25,0.21,-0.87,-0.53,0.29
Interest,0.03,0.03,0.01,0.01,0.02,0.05,0.04
Depreciation,0.14,0.14,0.19,0.21,0.52,0.89,0.98
Profit before tax,0.34,0.4,0.38,1.46,0.5,4.45,0.72
Tax %,32.35,25.0,13.16,32.88,34.0,22.02,36.11
Net Profit,0.23,0.3,0.34,0.99,0.33,3.49,0.46
EPS in Rs,0.28,0.27,0.3,0.88,0.29,3.12,0.41
