,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3.6,5.45,8.67,10.69,11.68,12.66,14.76,18.38,15.09,8.88,15.55,39.78,49.75
Expenses,3.23,5.02,7.54,9.58,10.36,11.59,12.92,15.73,13.93,8.06,13.71,31.95,42.38
Operating Profit,0.37,0.43,1.13,1.11,1.32,1.07,1.84,2.65,1.16,0.82,1.84,7.83,7.37
OPM %,10.28,7.89,13.03,10.38,11.3,8.45,12.47,14.42,7.69,9.23,11.83,19.68,14.81
Other Income,0.26,0.23,0.22,0.17,0.19,0.22,0.56,0.48,0.49,0.27,0.47,-1.4,-0.24
Interest,0.09,0.07,0.06,0.08,0.05,0.13,0.06,0.06,0.08,0.07,0.06,0.07,0.09
Depreciation,0.08,0.05,0.16,0.12,0.2,0.33,0.28,0.24,0.24,0.28,0.4,1.41,1.87
Profit before tax,0.46,0.54,1.13,1.08,1.26,0.83,2.06,2.83,1.33,0.74,1.85,4.95,5.17
Tax %,17.39,1.85,31.86,34.26,55.56,31.33,28.64,31.8,24.06,28.38,28.11,22.83,
Net Profit,0.39,0.53,0.77,0.72,0.56,0.57,1.48,1.93,1.0,0.53,1.33,3.82,3.95
EPS in Rs,39.0,53.0,77.0,72.0,56.0,57.0,148.0,2.38,1.22,0.47,1.19,3.41,3.53
