,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,24,23,23,24,24,48,56.0
Reserves,435,408,480,607,806,953,1657.0
Preference Capital,0,400,400,415,415,415,
Borrowings,371,397,392,498,533,580,440.0
Other Liabilities,163,641,649,586,683,1049,677.0
Total Liabilities,993,1469,1545,1714,2045,2630,2831.0
Fixed Assets,249,302,391,399,398,517,551.0
CWIP,5,43,15,7,43,44,71.0
Investments,35,193,221,236,262,359,329.0
Other Assets,704,932,919,1072,1342,1710,1879.0
Total Assets,993,1469,1545,1714,2045,2630,2831.0
