,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,95,40,211,-71,98,454
Cash from Investing Activity,-44,-276,-122,-6,-63,-334
Cash from Financing Activity,-45,228,-84,74,-32,-102
Net Cash Flow,6,-8,5,-3,4,19
