,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,1980.0,2388.0,2472.0,2716.0,4386.0,5599.0
Expenses,1757.0,2212.0,2266.0,2484.0,4082.0,5276.0
Operating Profit,223.0,177.0,207.0,232.0,304.0,323.0
OPM %,11.0,7.0,8.0,9.0,7.0,6.0
Other Income,14.0,25.0,27.0,22.0,46.0,34.0
Interest,28.0,38.0,37.0,29.0,24.0,43.0
Depreciation,25.0,31.0,39.0,45.0,46.0,60.0
Profit before tax,184.0,132.0,158.0,180.0,280.0,255.0
Tax %,34.0,35.0,22.0,26.0,25.0,26.0
Net Profit,122.0,86.0,122.0,134.0,210.0,189.0
EPS in Rs,50.36,36.61,52.35,56.14,87.67,19.74
