,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,45.77,37.45,35.97,35.97,35.97,35.97,35.97,35.97
FIIs,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0
DIIs,0.59,13.3,15.31,15.31,15.31,15.31,15.31,15.31
Public,53.65,49.25,48.72,48.72,48.72,48.72,48.67,48.72
No. of Shareholders,7156.0,7849.0,7845.0,7850.0,7934.0,8789.0,9115.0,9092.0
