,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.01,10.48,10.48,10.48,10.48,10.48,10.48,10.48,10.48,10.48
Reserves,0.0,0.05,0.18,-4.55,-6.06,-7.01,-8.53,-9.66,-10.64,-11.29
Preference Capital,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,
Borrowings,0.0,0.1,0.16,0.72,0.81,1.27,2.27,2.37,8.1,7.96
Other Liabilities,0.0,0.74,0.96,0.85,0.9,0.53,0.98,1.32,1.36,1.47
Total Liabilities,0.01,11.37,11.78,7.5,6.13,5.27,5.2,4.51,9.3,8.62
Fixed Assets,0.0,7.98,7.33,6.45,5.57,4.71,3.89,3.07,2.27,1.87
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,0.01,3.39,4.45,1.05,0.56,0.56,1.31,1.44,7.03,6.75
Total Assets,0.01,11.37,11.78,7.5,6.13,5.27,5.2,4.51,9.3,8.62
