,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,1.49,7.45,2.52,2.83,2.02,1.42,1.51,2.01,1.66
Expenses,0.0,1.29,6.34,6.42,3.56,2.18,1.69,1.56,2.13,2.05
Operating Profit,0.0,0.2,1.11,-3.9,-0.73,-0.16,-0.27,-0.05,-0.12,-0.39
OPM %,,13.42,14.9,-154.76,-25.8,-7.92,-19.01,-3.31,-5.97,-23.49
Other Income,0.0,0.0,0.0,0.0,0.01,0.02,-0.25,0.05,0.2,0.30
Interest,0.0,0.0,0.01,0.01,0.01,0.0,0.16,0.31,0.27,0.12
Depreciation,0.0,0.18,0.9,0.85,0.84,0.83,0.83,0.82,0.8,0.80
Profit before tax,0.0,0.02,0.2,-4.76,-1.57,-0.97,-1.51,-1.13,-0.99,-1.01
Tax %,,-150.0,0.0,0.0,0.0,0.0,-1.32,0.0,0.0,
Net Profit,0.0,0.05,0.2,-4.76,-1.57,-0.98,-1.52,-1.14,-0.99,-1.02
EPS in Rs,,0.05,0.19,-4.54,-1.5,-0.93,-1.45,-1.09,-0.94,-0.97
