,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,9,9,34,9,9,9,9,10,113,125,133.0
Reserves,0,0,0,-1,7,30,70,164,274,1120,1914.0
Preference Capital,0,0,25,25,25,25,25,0,0,0,
Borrowings,40,35,28,86,101,101,147,211,291,16,17.0
Other Liabilities,1,1,4,44,43,67,75,67,92,120,160.0
Total Liabilities,50,45,65,137,159,207,300,453,770,1380,2223.0
Fixed Assets,2,1,1,56,100,106,129,216,257,646,718.0
CWIP,7,20,42,40,2,1,17,0,58,37,86.0
Investments,16,8,0,0,0,0,0,22,17,1,12.0
Other Assets,25,15,21,41,56,99,154,214,438,695,1407.0
Total Assets,50,45,65,137,159,207,300,453,770,1380,2223.0
