,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,116.0,150.0,141.0,151.0,148.0,160.0,140.0,167.0,184.0,161.0,164.0
Expenses,80.0,104.0,101.0,112.0,105.0,118.0,103.0,120.0,124.0,116.0,118.0
Operating Profit,36.0,46.0,40.0,39.0,42.0,42.0,37.0,47.0,60.0,45.0,46.0
OPM %,31.0,31.0,29.0,26.0,29.0,27.0,26.0,28.0,32.0,28.0,28.0
Other Income,1.0,1.0,3.0,2.0,0.0,6.0,6.0,3.0,1.0,3.0,15.0
Interest,3.0,3.0,3.0,4.0,3.0,3.0,1.0,0.0,1.0,1.0,2.0
Depreciation,3.0,4.0,3.0,4.0,4.0,5.0,5.0,6.0,7.0,9.0,10.0
Profit before tax,30.0,40.0,37.0,34.0,35.0,41.0,37.0,44.0,52.0,37.0,50.0
Tax %,25.0,20.0,32.0,25.0,26.0,26.0,27.0,20.0,28.0,18.0,24.0
Net Profit,23.0,32.0,25.0,25.0,26.0,31.0,27.0,35.0,38.0,30.0,38.0
EPS in Rs,22.65,32.01,24.93,2.25,2.31,2.46,2.19,2.81,3.02,2.28,2.85
