,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,28.78,12.73,15.92,23.89,24.13,38.23,13.87,8.54,8.58
Inventory Days,475.66,1010.44,933.22,542.02,589.97,569.4,1146.38,443.15,477.38
Days Payable,15.69,143.75,161.78,97.78,61.22,113.56,282.95,106.87,63.23
Cash Conversion Cycle,488.74,879.43,787.37,468.13,552.88,494.08,877.29,344.83,422.73
Working Capital Days,244.43,239.3,256.81,174.73,192.57,176.16,218.19,151.05,165.97
ROCE %,,3.71,-4.03,3.74,6.58,7.08,5.86,10.85,8.77
